Symbol,Qty,Market Value,Mark,Avg Price,Last,1D Open P&L,1D Open P&L %,Open P&L,Open P&L %
AAPL,2.003354,511.84,255.49,178.48,255.49,-2.76,-0.54,154.28,43.15
CTSH,5.0,334.9,66.98,67.73,66.98,1.55,0.46,-3.73,-1.1
FITB,5.0,227.15,45.43,45.61,45.43,0.75,0.33,-0.9,-0.39
HBAN,8.0,139.36,17.42,17.6,17.42,0.8,0.58,-1.44,-1.02
NVDA,1.000126,177.66,177.64,89.41,177.64,-0.05,-0.03,88.24,98.67
SYF,3.0,223.62,74.54,76.1,74.54,0.78,0.35,-4.68,-2.05
TSLA,0.5554,244.38,440.0,294.82,440.0,9.23,3.92,80.63,49.24
